Name,Location,Year,Kilometers_Driven,Owner_Type,Seats,Price,Fuel_Diesel,Fuel_Petrol,Transmission_Automatic,Transmission_Manual
Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,First,5.0,9.49,True,False,False,True
Honda BRV i-VTEC V CVT,Kochi,2017,35676,First,7.0,9.48,False,True,True,False
Jaguar XE Portfolio,Mumbai,2017,9000,First,5.0,34.5,False,True,True,False
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,First,7.0,28.0,True,False,True,False
BMW 3 Series Luxury Line,Mumbai,2015,41000,First,5.0,25.5,True,False,True,False
Honda BR-V i-VTEC S MT,Pune,2017,9000,First,7.0,8.5,False,True,False,True
Hyundai i20 Active SX Petrol,Jaipur,2017,40250,First,5.0,6.9,False,True,False,True
Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,First,5.0,70.99,False,True,True,False
Audi A6 35 TFSI Matrix,Mumbai,2016,47000,First,5.0,24.5,False,True,True,False
Mini Cooper Convertible S,Mumbai,2014,11900,First,4.0,28.5,False,True,True,False
Mahindra Bolero ZLX,Coimbatore,2016,82756,First,7.0,7.7,True,False,False,True
Volkswagen Vento 1.6 Comfortline,Mumbai,2017,15000,Second,5.0,7.1,False,True,False,True
Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,First,5.0,8.92,True,False,False,True
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,First,5.0,20.37,True,False,True,False
BMW 3 Series Luxury Line,Bangalore,2016,19235,First,5.0,36.5,True,False,True,False
Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,First,5.0,51.43,False,True,True,False
Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,First,7.0,56.0,True,False,True,False
Maruti Wagon R LXI,Ahmedabad,2012,30000,First,5.0,3.3,False,True,False,True
Hyundai Creta 1.6 SX,Chennai,2016,69434,First,5.0,8.0,False,True,False,True
Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,First,5.0,38.99,False,True,True,False
BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,First,5.0,29.4,True,False,True,False
Maruti Ertiga ZDI,Pune,2013,105000,Second,7.0,6.75,True,False,False,True
Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,First,5.0,10.5,True,False,False,True
Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,First,7.0,17.0,True,False,True,False
Jeep Compass 2.0 Limited,Jaipur,2018,29000,First,5.0,19.0,True,False,False,True
Mahindra Bolero ZLX,Jaipur,2012,105000,Second,7.0,6.0,True,False,False,True
Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,First,5.0,8.12,True,False,False,True
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,First,7.0,24.82,True,False,True,False
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,First,5.0,48.5,True,False,True,False
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,First,5.0,9.45,True,False,True,False
Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,First,8.0,17.5,True,False,False,True
Maruti Vitara Brezza ZDi,Pune,2016,21558,First,5.0,8.9,True,False,False,True
Mini Cooper 5 DOOR D,Mumbai,2016,11000,First,5.0,29.5,True,False,True,False
Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,First,7.0,11.25,True,False,False,True
Honda BR-V i-DTEC VX MT,Kochi,2017,32249,First,7.0,10.79,True,False,False,True
Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,First,5.0,5.7,False,True,False,True
Maruti Alto K10 VXI,Bangalore,2011,64357,First,5.0,2.75,False,True,False,True
Honda BRV i-VTEC V CVT,Mumbai,2017,18000,First,7.0,9.25,False,True,True,False
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,First,5.0,11.31,True,False,False,True
Nissan Sunny XV CVT,Kochi,2013,37199,First,5.0,5.43,False,True,True,False
Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,First,7.0,18.75,True,False,False,True
Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,First,5.0,8.5,False,True,True,False
Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,First,5.0,4.9,True,False,False,True
Honda City i-VTEC V,Delhi,2014,55818,Second,5.0,5.7,False,True,False,True
Maruti Ertiga VDI,Ahmedabad,2017,63939,First,7.0,7.75,True,False,False,True
Maruti Celerio VXI AMT,Delhi,2014,35214,Second,5.0,3.2,False,True,True,False
Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Second,5.0,23.5,True,False,True,False
Honda City i-VTEC CVT VX,Bangalore,2015,18955,First,5.0,10.65,False,True,True,False
Honda Jazz VX,Kochi,2018,20024,First,5.0,8.46,False,True,False,True
Ford Figo Titanium Diesel,Kolkata,2015,72035,First,5.0,2.5,True,False,False,True
Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,First,5.0,10.9,False,True,False,True
Maruti Wagon R VXI,Coimbatore,2015,72599,First,5.0,4.32,False,True,False,True
Mahindra XUV500 W9 AT,Coimbatore,2019,19654,First,7.0,17.63,True,False,True,False
Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,5.0,56.0,True,False,True,False
Honda Amaze VX Diesel,Hyderabad,2018,12000,First,5.0,8.5,True,False,False,True
Maruti Alto K10 LXI,Pune,2014,49000,First,5.0,2.3,False,True,False,True
Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,5.0,6.45,True,False,False,True
Mahindra Xylo H4,Chennai,2016,215000,First,7.0,7.5,True,False,False,True
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,7.0,18.6,True,False,False,True
Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,First,5.0,5.9,True,False,False,True
Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,7.0,19.92,True,False,True,False
Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,First,5.0,3.25,False,True,False,True
Maruti Celerio VXI Optional AMT,Pune,2017,7500,First,5.0,5.0,False,True,True,False
Maruti Dzire VXI,Kolkata,2011,46687,First,5.0,2.7,False,True,False,True
Datsun redi-GO T Option,Bangalore,2016,20487,First,5.0,2.66,False,True,False,True
Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,First,7.0,3.61,False,True,False,True
Honda City i-VTEC CVT VX,Mumbai,2015,30000,First,5.0,8.65,False,True,True,False
Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,First,5.0,20.0,True,False,False,True
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,First,5.0,59.72,True,False,True,False
Maruti Baleno Alpha Diesel,Kolkata,2016,29000,First,5.0,6.5,True,False,False,True
Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,First,7.0,12.49,True,False,False,True
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,First,7.0,18.39,True,False,False,True
Honda Jazz VX Diesel,Mumbai,2016,38000,First,5.0,6.21,True,False,False,True
Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,First,5.0,39.5,True,False,True,False
BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,First,5.0,17.5,True,False,True,False
Renault KWID RXT Optional,Hyderabad,2018,1900,First,5.0,4.45,False,True,False,True
Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,First,5.0,11.65,True,False,False,True
Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,First,7.0,16.5,True,False,False,True
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,First,5.0,5.39,True,False,False,True
Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,First,7.0,13.28,True,False,False,True
Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,First,5.0,17.75,False,True,True,False
Audi A4 35 TDI Technology,Hyderabad,2015,45000,First,5.0,25.0,True,False,True,False
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,First,5.0,12.41,False,True,True,False
Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,First,5.0,7.94,True,False,False,True
Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,First,7.0,20.5,True,False,True,False
Maruti Ertiga VDI,Pune,2016,130000,First,7.0,7.0,True,False,False,True
Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,First,5.0,10.49,True,False,False,True
Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,First,5.0,3.95,False,True,False,True
Maruti Vitara Brezza VDi,Kolkata,2017,35000,First,5.0,6.5,True,False,False,True
Mahindra XUV300 W8 Diesel,Chennai,2012,97000,First,5.0,7.25,True,False,False,True
Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,First,5.0,6.01,True,False,False,True
Tata Hexa XT,Delhi,2017,55000,First,7.0,12.0,True,False,False,True
Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,First,5.0,5.88,False,True,False,True
Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,First,5.0,51.35,False,True,True,False
Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,First,5.0,22.0,True,False,True,False
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,First,5.0,5.0,False,True,False,True
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,First,7.0,19.75,True,False,True,False
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,First,5.0,11.44,True,False,True,False
Mahindra Bolero ZLX,Mumbai,2016,40448,First,7.0,3.5,True,False,False,True
Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,First,5.0,10.46,True,False,False,True
Honda Amaze S Petrol,Kochi,2016,51672,First,5.0,5.68,False,True,False,True
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,First,5.0,5.98,False,True,False,True
Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,First,5.0,4.77,False,True,False,True
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,First,5.0,7.2,False,True,True,False
Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,First,5.0,5.9,True,False,True,False
Volvo S60 D4 Momentum,Hyderabad,2015,51000,First,5.0,25.0,True,False,True,False
BMW 3 Series 320d Luxury Line,Chennai,2012,65000,First,5.0,14.0,True,False,True,False
Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,First,7.0,20.4,True,False,False,True
Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,First,5.0,5.68,False,True,False,True
Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,First,7.0,12.75,True,False,False,True
Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,First,5.0,18.0,False,True,True,False
Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52000,First,5.0,6.5,True,False,False,True
Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,First,5.0,40.0,True,False,True,False
Mahindra Xylo D4,Chennai,2016,85000,First,7.0,6.15,True,False,False,True
Maruti Swift VDI,Kochi,2017,34613,First,5.0,6.24,True,False,False,True
Hyundai Xcent 1.2 VTVT S,Bangalore,2014,54000,First,5.0,5.5,False,True,False,True
Honda City i-VTEC CVT VX,Kochi,2018,22974,First,5.0,11.97,False,True,True,False
Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,First,7.0,18.9,True,False,False,True
Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,First,7.0,2.95,False,True,False,True
Maruti Swift LDI,Mumbai,2015,14000,First,5.0,5.25,True,False,False,True
BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,First,5.0,24.68,True,False,True,False
BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,First,5.0,29.5,True,False,True,False
Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Second,5.0,1.9,True,False,False,True
Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Second,5.0,2.5,True,False,False,True
BMW 3 Series 320d Luxury Line,Kochi,2013,37613,First,5.0,13.95,True,False,True,False
Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,First,5.0,6.06,False,True,False,True
Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,First,7.0,67.0,True,False,True,False
Maruti Alto K10 VXI,Kolkata,2018,2100,First,5.0,3.6,False,True,False,True
Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,First,5.0,7.55,False,True,True,False
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,First,5.0,6.17,False,True,False,True
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,First,5.0,2.5,True,False,False,True
Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,First,5.0,11.5,True,False,True,False
Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,First,5.0,6.2,False,True,True,False
Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,First,7.0,15.49,True,False,True,False
Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,First,5.0,4.0,False,True,False,True
Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,First,7.0,19.92,True,False,False,True
Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,First,5.0,9.2,False,True,False,True
Maruti Alto K10 VXI,Hyderabad,2016,10000,First,5.0,3.5,False,True,False,True
Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,First,5.0,4.5,False,True,False,True
Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,First,5.0,16.35,False,True,True,False
Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,First,5.0,12.5,True,False,True,False
Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,First,5.0,5.8,True,False,False,True
Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,First,5.0,5.0,False,True,False,True
Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,First,5.0,17.49,False,True,True,False
Land Rover Range Rover Sport SE,Kochi,2019,26013,First,5.0,97.07,True,False,True,False
Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,First,5.0,9.15,True,False,True,False
Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,First,5.0,7.7,True,False,False,True
Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,First,5.0,6.69,True,False,False,True
Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,First,5.0,10.5,True,False,True,False
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,First,8.0,22.55,True,False,False,True
Mahindra Thar CRDe,Jaipur,2016,19000,First,6.0,9.25,True,False,False,True
Ford Aspire Titanium Diesel,Coimbatore,2017,30279,First,5.0,7.29,True,False,False,True
Mini Cooper 3 DOOR D,Mumbai,2016,20000,First,4.0,23.5,True,False,True,False
Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Second,5.0,3.1,True,False,False,True
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,First,5.0,7.23,False,True,False,True
Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,First,7.0,41.5,True,False,True,False
Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,First,5.0,24.9,True,False,True,False
Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,First,7.0,72.94,True,False,True,False
Mahindra Bolero ZLX,Jaipur,2013,63000,First,7.0,5.5,True,False,False,True
BMW X1 M Sport sDrive 20d,Kochi,2017,32838,First,5.0,30.29,True,False,True,False
Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,First,5.0,38.0,True,False,True,False
Maruti Wagon R LXI,Delhi,2012,45631,Second,5.0,2.74,False,True,False,True
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,First,5.0,4.9,False,True,False,True
Maruti Alto K10 VXI,Coimbatore,2011,48624,First,5.0,3.22,False,True,False,True
BMW 5 Series 520d Luxury Line,Kochi,2018,32586,First,5.0,37.3,True,False,True,False
Mercedes-Benz GLE 350d,Coimbatore,2018,40129,First,5.0,70.8,True,False,True,False
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,First,5.0,6.03,False,True,False,True
Honda Amaze V CVT Petrol,Pune,2018,1700,First,5.0,7.8,False,True,True,False
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,First,5.0,28.03,True,False,True,False
Mahindra Xylo D4,Hyderabad,2015,169000,First,7.0,5.0,True,False,False,True
Maruti Ciaz Zeta,Mumbai,2017,5500,First,5.0,8.2,False,True,False,True
Maruti Wagon R LXI,Ahmedabad,2010,21002,First,5.0,2.75,False,True,False,True
Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,First,7.0,4.74,False,True,False,True
Renault KWID Climber 1.0 MT,Delhi,2017,15000,First,5.0,4.25,False,True,False,True
Honda WRV i-VTEC VX,Kochi,2018,15135,First,5.0,9.29,False,True,False,True
Maruti Wagon R VXI AMT,Coimbatore,2017,37832,First,5.0,5.23,False,True,True,False
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,First,5.0,6.01,False,True,False,True
Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,First,5.0,5.0,False,True,False,True
Maruti Dzire AMT ZDI Plus,Pune,2017,41747,First,5.0,9.0,True,False,True,False
Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,First,5.0,7.27,False,True,False,True
Maruti Swift VXI,Mumbai,2016,23555,First,5.0,5.1,False,True,False,True
Volkswagen Polo GT TSI,Mumbai,2016,28000,First,5.0,7.25,False,True,True,False
Tata Bolt Quadrajet XE,Hyderabad,2017,40000,First,5.0,5.25,True,False,False,True
Hyundai Elantra 1.6 SX Option AT,Ahmedabad,2014,49000,First,5.0,8.9,True,False,True,False
Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,First,5.0,17.45,True,False,False,True
Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,First,5.0,6.22,False,True,False,True
Mercedes-Benz GLE 350d,Coimbatore,2017,33552,First,5.0,64.87,True,False,True,False
Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,First,5.0,17.25,False,True,True,False
Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,First,5.0,5.53,False,True,False,True
BMW 3 Series 320d,Ahmedabad,2011,100000,Second,5.0,10.9,True,False,True,False
Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,First,7.0,2.9,False,True,False,True
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,First,7.0,19.65,True,False,True,False
Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,First,7.0,79.0,True,False,True,False
Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,First,5.0,5.75,False,True,False,True
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,First,5.0,7.27,False,True,False,True
Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,First,7.0,30.0,True,False,True,False
Maruti Dzire VDI,Delhi,2016,45376,First,5.0,5.75,True,False,False,True
Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,First,5.0,8.09,True,False,False,True
BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Second,5.0,22.24,True,False,True,False
Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,First,5.0,8.99,True,False,False,True
Maruti Dzire ZDI Plus,Jaipur,2017,24000,First,5.0,8.2,True,False,False,True
Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,Second,5.0,5.25,False,True,False,True
Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,First,5.0,9.3,True,False,False,True
Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,First,5.0,23.5,True,False,True,False
Maruti Dzire VDI,Mumbai,2012,74000,Second,5.0,4.25,True,False,False,True
Jeep Compass 2.0 Longitude,Kochi,2018,28937,First,5.0,17.02,True,False,False,True
Toyota Corolla Altis 1.4 DG,Coimbatore,2013,63854,First,5.0,7.12,True,False,False,True
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,First,5.0,11.25,True,False,True,False
Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,First,5.0,3.67,False,True,False,True
BMW X1 sDrive 20d xLine,Bangalore,2016,28143,First,5.0,28.5,True,False,True,False
Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,First,7.0,16.5,True,False,False,True
Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,First,5.0,6.76,False,True,True,False
Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Second,5.0,5.5,False,True,False,True
Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,First,7.0,3.75,False,True,False,True
Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,First,7.0,17.11,True,False,False,True
Mahindra Bolero SLE,Hyderabad,2012,75000,First,7.0,4.3,True,False,False,True
Maruti Ignis 1.2 Alpha,Mumbai,2017,1000,First,5.0,6.36,False,True,False,True
BMW 7 Series 730Ld Eminence,Kochi,2015,29966,Second,5.0,43.6,True,False,True,False
Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,First,5.0,19.05,True,False,False,True
Mini Cooper 5 DOOR D,Hyderabad,2017,2000,First,5.0,34.0,True,False,True,False
Tata Zest Revotron 1.2T XMS,Chennai,2015,40000,First,5.0,4.0,False,True,False,True
Ford Aspire Titanium Plus Diesel,Kolkata,2015,2800,First,5.0,8.41,True,False,False,True
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,37429,First,5.0,5.89,False,True,False,True
Honda City i-VTEC V,Delhi,2011,67031,First,5.0,4.0,False,True,False,True
Maruti Celerio VXI AMT,Mumbai,2016,47691,First,5.0,3.94,False,True,True,False
Maruti Dzire VDI,Kolkata,2015,28193,First,5.0,5.25,True,False,False,True
Mercedes-Benz SLC 43 AMG,Coimbatore,2019,2526,First,2.0,83.96,False,True,True,False
