Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Diesel,Fuel_Petrol,Transmission_Automatic,Transmission_Manual,Current_Age,Age
1030,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,First,14.24,2755.0,174.5,7.0,36.69 Lakh,13.28,True,False,False,True,11,11
1039,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,First,16.0,1368.0,160.0,5.0,23.68 Lakh,17.75,False,True,True,False,7,7
1044,Audi A4 35 TDI Technology,Hyderabad,2015,45000,First,18.25,1968.0,187.74,5.0,55.61 Lakh,25.0,True,False,True,False,9,9
1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,First,14.8,1497.0,121.36,5.0,14.1 Lakh,12.41,False,True,True,False,6,6
1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,First,11.36,2755.0,171.5,7.0,28.05 Lakh,20.5,True,False,True,False,8,8
1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,First,24.3,1248.0,88.5,5.0,11.2 Lakh,10.49,True,False,False,True,5,5
1103,Tata Hexa XT,Delhi,2017,55000,First,17.6,2179.0,153.86,7.0,19.86 Lakh,12.0,True,False,False,True,7,7
1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,First,12.6,1950.0,191.34,5.0,86.97 Lakh,51.35,False,True,True,False,6,6
1117,Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,First,20.7,1496.0,113.98,5.0,42.12 Lakh,22.0,True,False,True,False,10,10
1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,First,11.36,2755.0,171.5,7.0,26.56 Lakh,19.75,True,False,True,False,8,8
1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,First,19.6,1461.0,108.45,5.0,15.05 Lakh,11.44,True,False,True,False,7,7
1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,First,24.3,1248.0,88.5,5.0,11 Lakh,10.46,True,False,False,True,6,6
1192,Volvo S60 D4 Momentum,Hyderabad,2015,51000,First,27.03,1969.0,190.0,5.0,45.67 Lakh,25.0,True,False,True,False,9,9
1195,BMW 3 Series 320d Luxury Line,Chennai,2012,65000,First,22.69,1995.0,190.0,5.0,54.7 Lakh,14.0,True,False,True,False,12,12
1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,First,13.68,2393.0,147.8,7.0,22.87 Lakh,20.4,True,False,False,True,7,7
1200,Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,First,13.5,2477.0,175.56,7.0,33.09 Lakh,12.75,True,False,False,True,11,11
1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,First,14.28,1798.0,138.03,5.0,23.25 Lakh,18.0,False,True,True,False,7,7
1242,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,First,13.6,1999.0,177.0,5.0,52.77 Lakh,40.0,True,False,True,False,6,6
1270,Honda City i-VTEC CVT VX,Kochi,2018,22974,First,18.0,1497.0,117.3,5.0,15.55 Lakh,11.97,False,True,True,False,6,6
1272,Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,First,14.24,2755.0,174.5,7.0,32.45 Lakh,18.9,True,False,False,True,9,9
1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,First,22.48,1995.0,190.0,5.0,71.82 Lakh,24.68,True,False,True,False,12,12
1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,First,17.05,1995.0,190.0,5.0,50.97 Lakh,29.5,True,False,True,False,8,8
1320,BMW 3 Series 320d Luxury Line,Kochi,2013,37613,First,22.69,1995.0,190.0,5.0,52.46 Lakh,13.95,True,False,True,False,11,11
1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,First,14.75,2967.0,245.0,7.0,1.04 Cr,67.0,True,False,True,False,8,8
1381,Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,First,19.6,1461.0,108.45,5.0,15.05 Lakh,11.5,True,False,True,False,8,8
1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,First,11.36,2755.0,171.5,7.0,24.82 Lakh,15.49,True,False,True,False,8,8
1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,First,13.68,2393.0,147.8,7.0,22.86 Lakh,19.92,True,False,False,True,6,6
1472,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,First,14.62,1999.0,149.92,5.0,21.77 Lakh,16.35,False,True,True,False,7,7
1490,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,First,17.6,1582.0,126.2,5.0,18.35 Lakh,12.5,True,False,True,False,8,8
1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,First,14.28,1798.0,138.03,5.0,23.25 Lakh,17.49,False,True,True,False,6,6
1505,Land Rover Range Rover Sport SE,Kochi,2019,26013,First,12.65,2993.0,255.0,5.0,1.39 Cr,97.07,True,False,True,False,5,5
1531,Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,First,21.72,1498.0,108.4,5.0,15.34 Lakh,10.5,True,False,True,False,7,7
1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,First,13.68,2393.0,147.8,8.0,24.01 Lakh,22.55,True,False,False,True,5,5
1545,Mini Cooper 3 DOOR D,Mumbai,2016,20000,First,20.7,1496.0,113.98,4.0,35 Lakh,23.5,True,False,True,False,8,8
1568,Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,First,12.81,1999.0,148.31,7.0,66.39 Lakh,41.5,True,False,True,False,7,7
1574,Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,First,17.06,1968.0,141.0,5.0,36.45 Lakh,24.9,True,False,True,False,7,7
1583,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,First,14.75,2967.0,245.0,7.0,91.38 Lakh,72.94,True,False,True,False,5,5
1631,BMW X1 M Sport sDrive 20d,Kochi,2017,32838,First,17.05,1995.0,190.0,5.0,50.97 Lakh,30.29,True,False,True,False,7,7
1652,Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,First,13.6,1999.0,177.0,5.0,53.41 Lakh,38.0,True,False,True,False,7,7
1689,BMW 5 Series 520d Luxury Line,Kochi,2018,32586,First,22.48,1995.0,190.0,5.0,67.87 Lakh,37.3,True,False,True,False,6,6
1690,Mercedes-Benz GLE 350d,Coimbatore,2018,40129,First,11.57,2987.0,254.79,5.0,95.13 Lakh,70.8,True,False,True,False,6,6
1708,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,First,15.17,1968.0,181.0,5.0,48.64 Lakh,28.03,True,False,True,False,8,8
1824,Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,First,17.1,1956.0,170.0,5.0,24.02 Lakh,17.45,True,False,False,True,7,7
1830,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,First,11.57,2987.0,254.79,5.0,95.13 Lakh,64.87,True,False,True,False,7,7
1841,Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,First,15.5,1595.0,122.0,5.0,34.63 Lakh,17.25,False,True,True,False,8,8
1855,BMW 3 Series 320d,Ahmedabad,2011,100000,Second,22.69,1995.0,190.0,5.0,43.31 Lakh,10.9,True,False,True,False,13,13
1877,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,First,11.36,2755.0,171.5,7.0,20.74 Lakh,19.65,True,False,True,False,5,5
1885,Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,First,11.0,2987.0,258.0,7.0,1.02 Cr,79.0,True,False,True,False,6,6
1902,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,First,12.9,2755.0,174.5,7.0,34.45 Lakh,30.0,True,False,True,False,7,7
1926,BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Second,20.68,1995.0,190.0,5.0,48.18 Lakh,22.24,True,False,True,False,9,9
1963,Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,First,17.9,2143.0,136.0,5.0,41.94 Lakh,23.5,True,False,True,False,7,7
1991,Jeep Compass 2.0 Longitude,Kochi,2018,28937,First,17.1,1956.0,170.0,5.0,21.38 Lakh,17.02,True,False,False,True,6,6
1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,First,24.3,1248.0,88.5,5.0,12.88 Lakh,11.25,True,False,True,False,6,6
2003,BMW X1 sDrive 20d xLine,Bangalore,2016,28143,First,20.68,1995.0,190.0,5.0,48.18 Lakh,28.5,True,False,True,False,8,8
2008,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,First,13.68,2393.0,147.8,7.0,22.87 Lakh,16.5,True,False,False,True,7,7
2030,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,First,13.68,2393.0,147.8,7.0,23.06 Lakh,17.11,True,False,False,True,8,8
2056,BMW 7 Series 730Ld Eminence,Kochi,2015,29966,Second,16.77,2993.0,261.49,5.0,1.4 Cr,43.6,True,False,True,False,9,9
2061,Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,First,17.1,1956.0,170.0,5.0,22.46 Lakh,19.05,True,False,False,True,6,6
2073,Mini Cooper 5 DOOR D,Hyderabad,2017,2000,First,20.7,1496.0,113.98,5.0,42.48 Lakh,34.0,True,False,True,False,7,7
2095,Mercedes-Benz SLC 43 AMG,Coimbatore,2019,2526,First,19.0,2996.0,362.07,2.0,1.06 Cr,83.96,False,True,True,False,5,5
2097,Mercedes-Benz E-Class E 220 d,Hyderabad,2013,85000,First,16.1,1950.0,194.0,5.0,71.15 Lakh,21.0,True,False,True,False,11,11
2111,Mercedes-Benz GLE 250d,Kochi,2017,25601,First,17.9,2143.0,201.15,5.0,78.76 Lakh,56.73,True,False,True,False,7,7
2134,Toyota Fortuner 2.8 2WD AT,Pune,2017,29000,First,12.9,2755.0,174.5,7.0,38.11 Lakh,31.0,True,False,True,False,7,7
2157,Hyundai Creta 1.6 SX Option,Delhi,2016,24347,First,15.8,1591.0,121.3,5.0,16.06 Lakh,11.0,False,True,False,True,8,8
2160,Honda City i-VTEC CVT VX,Mumbai,2017,17000,First,18.0,1497.0,117.3,5.0,15.29 Lakh,11.6,False,True,True,False,7,7
2178,Land Rover Discovery HSE Luxury 3.0 TD6,Mumbai,2017,35000,First,18.0,2993.0,255.0,7.0,1.27 Cr,41.6,True,False,True,False,7,7
2182,Toyota Fortuner 2.8 4WD MT,Bangalore,2015,150386,First,14.24,2755.0,174.5,7.0,39.6 Lakh,23.0,True,False,False,True,9,9
2187,Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,Mumbai,2016,13000,First,12.95,1999.0,152.88,5.0,25.75 Lakh,17.75,False,True,True,False,8,8
2229,Honda City i-VTEC CVT ZX,Coimbatore,2018,20300,First,18.0,1497.0,117.3,5.0,17.38 Lakh,14.21,False,True,True,False,6,6
2233,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2017,35358,First,11.36,2755.0,171.5,7.0,26.56 Lakh,22.99,True,False,True,False,7,7
2242,Toyota Fortuner 2.8 4WD MT,Hyderabad,2010,110000,First,14.24,2755.0,174.5,7.0,37.51 Lakh,13.7,True,False,False,True,14,14
2251,Honda City i-DTEC ZX,Hyderabad,2017,46000,First,25.6,1498.0,98.6,5.0,16.95 Lakh,12.9,True,False,False,True,7,7
2260,BMW 5 Series 520d Luxury Line,Ahmedabad,2012,95000,Second,22.48,1995.0,190.0,5.0,63.71 Lakh,17.5,True,False,True,False,12,12
2277,Toyota Fortuner 2.8 4WD MT,Mumbai,2010,140000,First,14.24,2755.0,174.5,7.0,37.46 Lakh,10.75,True,False,False,True,14,14
2309,Hyundai Elantra 2.0 SX Option AT,Delhi,2016,28000,First,14.62,1999.0,149.92,5.0,21.77 Lakh,13.9,False,True,True,False,8,8
2319,Mercedes-Benz E-Class E 350 d,Coimbatore,2019,9312,First,18.0,2987.0,258.0,5.0,92.5 Lakh,78.8,True,False,True,False,5,5
2334,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2016,88008,Second,12.9,2755.0,174.5,7.0,34.45 Lakh,22.5,True,False,True,False,8,8
2341,Mercedes-Benz GLA Class 200 d Sport,Mumbai,2018,10000,First,17.9,2143.0,136.0,5.0,41.94 Lakh,28.9,True,False,True,False,6,6
2364,Mini Cooper Convertible S,Chennai,2012,17000,Second,16.82,1998.0,189.08,4.0,44.28 Lakh,22.0,False,True,True,False,12,12
2370,Mini Cooper 3 DOOR S,Mumbai,2013,21000,First,17.44,1998.0,189.08,4.0,39.57 Lakh,21.5,False,True,True,False,11,11
2423,BMW 3 Series 320d,Mumbai,2013,25000,First,22.69,1995.0,190.0,5.0,47.87 Lakh,17.99,True,False,True,False,11,11
2445,BMW 5 Series 520d Luxury Line,Ahmedabad,2013,55000,First,22.48,1995.0,190.0,5.0,63.71 Lakh,21.75,True,False,True,False,11,11
2446,Mercedes-Benz GLC 220d 4MATIC Sport,Mumbai,2017,25000,First,17.9,2143.0,170.0,5.0,64.14 Lakh,45.0,True,False,True,False,7,7
2454,Hyundai Creta 1.6 SX Option,Mumbai,2016,29477,First,15.8,1591.0,121.3,5.0,16.36 Lakh,10.25,False,True,False,True,8,8
2455,Toyota Fortuner 2.8 2WD AT,Delhi,2017,40000,First,12.9,2755.0,174.5,7.0,37.38 Lakh,30.0,True,False,True,False,7,7
2488,Tata Hexa XTA,Coimbatore,2019,14233,First,17.6,2179.0,153.86,7.0,22.74 Lakh,17.85,True,False,True,False,5,5
2509,Mercedes-Benz E-Class E 220 d,Mumbai,2018,11000,First,16.1,1950.0,194.0,5.0,70.55 Lakh,56.5,True,False,True,False,6,6
2510,BMW 3 Series 320d Luxury Line,Mumbai,2014,18600,Second,22.69,1995.0,190.0,5.0,54.43 Lakh,21.0,True,False,True,False,10,10
2528,Land Rover Discovery SE 3.0 TD6,Delhi,2016,59000,First,18.0,2993.0,255.0,7.0,1.13 Cr,36.75,True,False,True,False,8,8
2533,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,20969,First,17.9,2143.0,136.0,5.0,45.36 Lakh,27.87,True,False,True,False,7,7
2536,Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,First,21.13,1498.0,108.4,5.0,14.22 Lakh,11.92,True,False,False,True,6,6
2563,Jeep Compass 2.0 Limited 4X4,Coimbatore,2018,48188,First,16.3,1956.0,170.0,5.0,26.95 Lakh,21.69,True,False,False,True,6,6
2569,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2017,65367,First,11.36,2755.0,171.5,7.0,28.05 Lakh,20.14,True,False,True,False,7,7
2604,Mini Cooper Convertible S,Mumbai,2016,15000,First,16.82,1998.0,189.08,4.0,44.28 Lakh,35.0,False,True,True,False,8,8
2607,Hyundai Verna CRDi 1.6 SX Option,Pune,2017,50000,First,22.0,1582.0,126.2,5.0,15.72 Lakh,11.5,True,False,False,True,7,7
2692,BMW 3 Series 320d,Kolkata,2011,70000,First,22.69,1995.0,190.0,5.0,43.81 Lakh,10.3,True,False,True,False,13,13
2699,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,51000,First,15.17,1968.0,181.0,5.0,48.64 Lakh,27.5,True,False,True,False,9,9
2702,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,25299,First,24.3,1248.0,88.5,5.0,12.56 Lakh,10.34,True,False,False,True,7,7
2711,Mini Cooper Convertible S,Kochi,2017,20469,First,16.82,1998.0,189.08,4.0,44.28 Lakh,35.98,False,True,True,False,7,7
2742,BMW 5 Series 520d Luxury Line,Ahmedabad,2013,90000,First,22.48,1995.0,190.0,5.0,63.71 Lakh,19.5,True,False,True,False,11,11
2763,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2017,72202,First,13.68,2393.0,147.8,8.0,24.01 Lakh,17.92,True,False,False,True,7,7
2767,Mercedes-Benz GLE 350d,Coimbatore,2018,30706,First,11.57,2987.0,254.79,5.0,95.13 Lakh,59.29,True,False,True,False,6,6
2808,Mercedes-Benz GLE 350d,Mumbai,2017,19863,First,11.57,2987.0,254.79,5.0,91.23 Lakh,64.95,True,False,True,False,7,7
2827,BMW X3 xDrive 20d Luxury Line,Hyderabad,2009,58000,First,18.56,1995.0,190.0,5.0,69.59 Lakh,17.98,True,False,True,False,15,15
2855,Toyota Fortuner 2.8 2WD AT,Kochi,2019,21719,First,12.9,2755.0,174.5,7.0,37.38 Lakh,33.13,True,False,True,False,5,5
2876,Audi A6 35 TDI Matrix,Delhi,2014,56000,First,18.53,1968.0,187.74,5.0,59.38 Lakh,24.0,True,False,True,False,10,10
2879,Audi A6 35 TDI Matrix,Hyderabad,2014,62000,First,18.53,1968.0,187.74,5.0,67.1 Lakh,25.0,True,False,True,False,10,10
2890,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,27852,First,14.8,1497.0,121.36,5.0,14.1 Lakh,10.44,False,True,True,False,6,6
2900,Isuzu MUX 4WD,Jaipur,2017,34429,First,13.8,2999.0,174.57,7.0,33.68 Lakh,20.0,True,False,True,False,7,7
2916,Jeep Compass 2.0 Limited 4X4,Coimbatore,2019,6261,First,16.3,1956.0,170.0,5.0,26.95 Lakh,23.91,True,False,False,True,5,5
